"Developer Name","Nome do desenvolvedor"
"Age","Idade"
"Occupation","Profissão"
"Backend Developer","Desenvolvedor Backend"
"My First Page","Minha Primeira Página"
"I'm a raw page!","Sou uma página pura!"
"You have been successfully redirected!","Você foi redirecionado com sucesso!"
"Additional Content","Conteúdo adicional"
"This block was added by the template in theme-frontend-helloworld!","Este bloco foi adicionado pelo template em theme-frontend-helloworld!"
"Pet Kinds", "Tipos de Pet"
"Pet Kind ID", "ID"
"Pet Kind Name", "Nome"
"Pet Kind Description", "Descrição"
"Pet Kind Information", "Informações do Tipo de Pet"
"Created At", "Data de criação"
"Updated At", "Última atualização"
"Add New Pet Kind", "Adicionar novo Tipo de Pet"
"New Pet Kind", "Novo Tipo de Pet"
